unit_id,unit_type,guide_count,x_mean,n_treated,n_control,u_norm,den,den_is_bad,beta_obs_nan,pmin_raw,pvals_raw_eq1_frac,pmin_skew,pvals_skew_eq1_frac,p_hat_mean,p_hat_min,p_hat_max,p_hat_var,propensity_separation_flag,propensity_auc,null_nan_frac,beta_null_mean_k0,beta_null_sd_k0,null_z_mean_k0,null_z_sd_k0,null_z_skew_k0,z_obs_k0,p_raw_k0,p_skew_k0,seed_base
GENE00030,real_gene,6,0.084,420,4580,4213.073179673725,383.8386030164579,False,False,0.005994005994005994,0.0,0.007474313088266016,0.0,0.0839992457776686,0.04590572045849953,0.1460939504471181,0.00017458524084186416,False,0.5503015179871075,0.0,0.018927113737465057,0.24565512808795434,7.105427357601002e-18,1.0,-0.0674795209543649,1.5911542457485732,0.10989010989010989,0.10744034765219623,0
GENE00031,real_gene,6,0.1322,661,4339,6654.465023036667,572.474388845658,False,False,0.016983016983016984,0.0,0.008997007238564392,0.0,0.13219768105852464,0.08527341912325857,0.18789578183134034,0.0002275309475344069,False,0.5317998562801094,0.0,0.008595216767901922,0.19536403439880992,-5.3290705182007515e-18,1.0,0.02091320475289177,-0.8437532039263861,0.4195804195804196,0.3991545857436048,0
GENE00032,real_gene,6,0.0266,133,4867,1343.663335713438,129.12008532505283,False,False,0.03496503496503497,0.0,0.04800736481993193,0.0,0.026600887897556463,0.007855469674714656,0.07279467783808499,6.991913379527002e-05,False,0.5964211947580066,0.0,-0.001907730960548033,0.4113495132938814,-7.105427357601002e-18,1.0,-0.05466509080833671,-1.8966622088647942,0.052947052947052944,0.06105445833172084,0
GENE00033,real_gene,6,0.018,90,4910,901.0444382716549,88.1247489042731,False,False,0.07192807192807193,0.0,0.07970767376998383,0.0,0.017999799878328344,0.004561667188933718,0.06596826007913119,5.181306665434264e-05,False,0.6154265670966281,0.0,0.01408494439588909,0.5119794468689773,-1.4210854715202004e-17,0.9999999999999999,-0.27884934074974754,-0.5819910021708303,0.5844155844155844,0.5361595214076,0
GENE00034,real_gene,6,0.0818,409,4591,4120.655643728236,375.34790083657634,False,False,0.04295704295704296,0.0,0.04041241293657616,0.0,0.081800269889806,0.06138894847190834,0.1077431821769413,3.88605634337053e-05,False,0.5246743522326823,0.0,-0.003817267714463335,0.24897979317561875,-1.0658141036401503e-17,1.0,-0.0018952964895995303,-0.9605267674094988,0.3076923076923077,0.33676945712042344,0
GENE00035,real_gene,6,0.0944,472,4528,4726.289393210541,425.513981582795,False,False,0.12387612387612387,0.0,0.12802317116641018,0.0,0.09439773068887221,0.04147585764062532,0.18902544645448277,0.00038375171360246227,False,0.5618964110319219,0.0,-0.0018998760583971918,0.2264301618994939,1.687538997430238e-17,0.9999999999999999,0.020436652334871564,-0.11718522013656293,0.9020979020979021,0.9093272460960795,0
GENE00036,real_gene,6,0.0406,203,4797,2043.1923705791844,194.6836107512124,False,False,0.022977022977022976,0.0,0.03201728986888684,0.0,0.04059694639891442,0.029064745397868057,0.056900558754940676,1.4807682946601267e-05,False,0.5230763069282834,0.0,-0.0016343790639016433,0.3358690729381258,-2.4868995751603507e-17,1.0,-0.15554466222479985,1.1062061827726988,0.25774225774225773,0.26354126150595203,0
GENE00037,real_gene,6,0.0562,281,4719,2835.5893580757324,264.9641231946081,False,False,0.12187812187812187,0.0,0.11850994316781349,0.0,0.056201903342610306,0.03265053545830535,0.08647406322840291,4.789099761876595e-05,False,0.5396839761123164,0.0,-0.0043573296836777065,0.2820879838118624,7.105427357601002e-18,1.0,-0.16665764880292414,-0.31886435796714996,0.7412587412587412,0.7289591750921369,0
GENE00038,real_gene,6,0.0998,499,4501,5020.001837351235,448.7618675210208,False,False,0.008991008991008992,0.0,0.010904185393780165,0.0,0.09980171961387468,0.06953347036571472,0.13842558503209945,8.753578207170432e-05,False,0.5291431563415656,0.0,0.009116736390350792,0.21534204694673229,7.105427357601002e-18,0.9999999999999999,-0.008913508017874171,1.2074019630233985,0.1978021978021978,0.22696785381293683,0
GENE00039,real_gene,6,0.1162,581,4419,5846.313914494808,512.8757954239635,False,False,0.059940059940059943,0.0,0.0687035248240565,0.0,0.11620707817921944,0.07592535275543744,0.16354834671950733,0.00012221335811967465,False,0.532063273947307,0.0,-0.004371146231963276,0.20165367968699846,8.881784197001253e-18,1.0,-0.01797487834516389,-1.8273892394533366,0.059940059940059943,0.0687035248240565,0
GENE00040,real_gene,6,0.0696,348,4652,3502.608935806495,323.5757006013188,False,False,0.06793206793206794,0.0,0.059402076317835284,0.0,0.06960031121404765,0.04567608585936095,0.09467103395875813,4.0535395496420265e-05,False,0.5288338472638143,0.0,0.001283109731533262,0.2621279582752855,-2.1316282072803006e-17,1.0,-0.1983544425746235,-1.706610515536672,0.08591408591408592,0.09915339208442074,0
GENE00041,real_gene,6,0.2202,1101,3899,11095.4260531588,857.1276053378928,False,False,0.03996003996003996,0.0,0.03820074885604326,0.0,0.2201985188074577,0.15949759568065752,0.27755353040408626,0.00028560512358458395,False,0.5284705852754811,0.0,-0.0015319711851692073,0.15877542833276073,0.0,0.9999999999999999,-0.028114858502823095,1.7522691768025842,0.08591408591408592,0.07805237233792342,0
GENE00042,real_gene,6,0.0484,242,4758,2442.375573420296,229.62505616534443,False,False,0.03396603396603397,0.0,0.04494018182511349,0.0,0.048399070872932146,0.01879818241179931,0.10039941490685553,0.000133692727798294,False,0.5644308498257827,0.0,0.014814917482952735,0.3051089451906304,2.842170943040401e-17,1.0,-0.059282141144960054,-1.4387402005408008,0.16783216783216784,0.15292147290204633,0
GENE00043,real_gene,6,0.0682,341,4659,3431.226738309604,317.3644586618931,False,False,0.03396603396603397,0.0,0.025786395167544857,0.0,0.06820026975926867,0.04379189301634622,0.10025798851931647,7.511505080920258e-05,False,0.5404939451218246,0.0,0.015105988313605047,0.2750464928062431,-5.3290705182007515e-18,1.0,0.024904763237165065,-0.28757214745112814,0.8211788211788211,0.7764410853290817,0
GENE00044,real_gene,6,0.0548,274,4726,2766.044296013775,258.4277046097218,False,False,0.02097902097902098,0.0,0.027052824347155596,0.0,0.054800458227549316,0.022809516907068998,0.11161292830304947,0.00011154987746659404,False,0.5514261840849348,0.0,0.009295294305960402,0.2871421944248921,1.0658141036401503e-17,1.0,-0.043112662409250845,-1.4173677101683437,0.16983016983016982,0.15827959057112873,0
GENE00045,real_gene,6,0.1064,532,4468,5357.269349498037,474.733100780631,False,False,0.1958041958041958,0.0,0.18265650287487312,0.0,0.10640004018000086,0.07087149018550991,0.17063704655133288,0.0001324557352135448,False,0.5360988078970927,0.0,0.006873654784582939,0.21977269895110657,-1.0658141036401503e-17,1.0,-0.10626476260448117,1.0579226798798358,0.2907092907092907,0.28753699287066503,0
GENE00046,real_gene,6,0.0844,422,4578,4239.109999169128,385.61124806772756,False,False,0.03396603396603397,0.0,0.03181563131968288,0.0,0.08440045730541132,0.052474096716350255,0.13750362756014323,0.00015299134172950754,False,0.5468643564212937,0.0,0.0005663770325918584,0.2419382019978226,-6.217248937900877e-18,0.9999999999999999,-0.0327892554452143,-0.6786527121632986,0.4975024975024975,0.49512234664644755,0
GENE00047,real_gene,6,0.0432,216,4784,2172.927482827707,206.24223457292103,False,False,0.04595404595404595,0.0,0.047025342359600604,0.0,0.043200267637943594,0.020012566459019415,0.08513723864564934,8.577707356783187e-05,False,0.565728353771832,0.0,-0.007434048767862536,0.32317427150756917,-3.552713678800501e-18,1.0,0.005608987068971922,-0.9798804881823495,0.32667332667332666,0.3271283519360845,0
GENE00048,real_gene,6,0.0778,389,4611,3917.5911810031935,358.2345512953707,False,False,0.1018981018981019,0.0,0.10061528634833362,0.05,0.07780020258678412,0.04723879998470798,0.12168973084706532,0.00010032387914228895,False,0.5358913161162059,0.0,0.004517207558978031,0.260061080431892,-1.0658141036401503e-17,0.9999999999999999,-0.21063296592753653,0.11757499088041007,0.8991008991008991,0.9343280381046004,0
GENE00049,real_gene,6,0.0538,269,4731,2703.656360485307,254.2547027159667,False,False,0.04595404595404595,0.0,0.06420520254824237,0.0,0.05380279409142581,0.03226298417098683,0.08408389765427346,5.403476278182777e-05,False,0.5365048533008967,0.0,0.004530218968702091,0.28902598738233276,-5.3290705182007515e-18,0.9999999999999999,-0.22101222954551702,-1.3972659532285483,0.17282717282717283,0.1713810678374256,0
ntc_0,ntc_group,6,0.0808,404,4596,4070.9659280071887,371.0056582759049,False,False,0.11588411588411589,0.0,0.0885707268282811,0.0,0.08079854847980197,0.057066160474795014,0.1180600217883365,7.001664654437967e-05,False,0.5310854682073952,0.0,0.0025878659654347404,0.23858746166029426,2.6645352591003758e-18,0.9999999999999999,-0.07408949204577407,0.045758173038080545,0.9500499500499501,0.973336362461193,0
ntc_1,ntc_group,6,0.085,425,4575,4273.5994613113035,387.9252802086921,False,False,0.18281718281718282,0.0,0.17383159909311338,0.0,0.08500000364178839,0.04669966672493147,0.15769700787113047,0.00018995723687494727,False,0.5489923497267759,0.0,-0.003676859679835305,0.24413773675172906,2.842170943040401e-17,0.9999999999999999,-0.13192254140920243,0.3859166864657886,0.7012987012987013,0.7122736963153258,0
ntc_2,ntc_group,6,0.0978,489,4511,4924.359310542159,440.659476564858,False,False,0.027972027972027972,0.0,0.031920313680395246,0.0,0.09780032563321281,0.06781130951679176,0.13902228579717898,0.0001032088934635061,False,0.5365684155839917,0.0,-0.0002617293886159955,0.22875547870534274,1.5987211554602253e-17,1.0,-0.02145976132937127,-1.4665981838810704,0.15284715284715283,0.1435318938884323,0
ntc_3,ntc_group,6,0.0978,489,4511,4915.220092107001,440.41379519275074,False,False,0.03896103896103896,0.0,0.03310376592637007,0.0,0.0978007257191841,0.05479407865250053,0.14536611012259573,0.00015194067288282147,False,0.5414290629721757,0.0,-0.002946886753822912,0.2146839985044464,-1.0658141036401503e-17,0.9999999999999999,0.0979260644022629,-0.9459712514701895,0.3436563436563437,0.3435294248382023,0
ntc_4,ntc_group,6,0.0894,447,4553,4495.348672823853,406.47599673827295,False,False,0.0969030969030969,0.0,0.0928940736262602,0.0,0.08940047003131515,0.05829675211077159,0.1295792685885255,0.00011208532756511005,False,0.5377819575656535,0.0,0.0011052064332464128,0.23100320376908318,-1.7763568394002505e-18,1.0,0.1342404448417798,0.6439069936239532,0.5294705294705294,0.5092293679914508,0
